,0,2.5,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,30,32.5,35,37.5,40,42.5,45,47.5,50,52.5,55,57.5,60,62.5,65,67.5,70,72.5,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100,102.5,105,107.5,110,112.5,115,117.5,120,122.5,125,127.5,130,132.5,135,137.5,140,142.5,145,147.5,150,152.5,155,157.5,160,162.5,165,167.5,170,172.5,175,177.5,180,182.5,185,187.5,190,192.5,195,197.5,200,202.5,205,207.5,210,212.5,215,217.5,220,222.5,225,227.5,230,232.5,235,237.5,240,242.5,245,247.5,250,252.5,255,257.5,260,262.5,265,267.5,270,272.5,275,277.5,280,282.5,285,287.5,290,292.5,295,297.5,300,302.5,305,307.5,310,312.5,315,317.5,320,322.5,325,327.5,330,332.5,335,337.5,340,342.5,345,347.5,350,352.5,355,357.5,360
90,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3,1014.3
87.5,1013.7,1013.7,1013.6,1013.6,1013.6,1013.6,1013.6,1013.5,1013.5,1013.5,1013.5,1013.5,1013.5,1013.5,1013.5,1013.5,1013.5,1013.5,1013.5,1013.6,1013.6,1013.6,1013.6,1013.6,1013.6,1013.6,1013.7,1013.7,1013.7,1013.7,1013.7,1013.8,1013.8,1013.8,1013.9,1013.9,1013.9,1014,1014,1014.1,1014.1,1014.1,1014.2,1014.2,1014.2,1014.3,1014.3,1014.3,1014.4,1014.4,1014.5,1014.5,1014.5,1014.6,1014.6,1014.6,1014.7,1014.7,1014.8,1014.8,1014.9,1014.9,1014.9,1015,1015,1015,1015,1015.1,1015.1,1015.1,1015.1,1015.1,1015.1,1015.1,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.2,1015.1,1015.1,1015.1,1015.1,1015.1,1015.1,1015,1015,1015,1015,1015,1015,1014.9,1014.9,1014.9,1014.9,1014.8,1014.8,1014.8,1014.8,1014.7,1014.7,1014.7,1014.6,1014.6,1014.6,1014.5,1014.5,1014.5,1014.5,1014.4,1014.4,1014.4,1014.3,1014.3,1014.3,1014.2,1014.2,1014.2,1014.1,1014.1,1014.1,1014,1014,1014,1013.9,1013.9,1013.9,1013.8,1013.8,1013.8,1013.7,1013.7,1013.7
85,1013.3,1013.2,1013.1,1013.1,1013,1013,1012.9,1012.9,1012.9,1012.8,1012.8,1012.8,1012.8,1012.8,1012.8,1012.8,1012.8,1012.8,1012.8,1012.8,1012.8,1012.8,1012.9,1012.9,1012.9,1013,1013,1013.1,1013.1,1013.2,1013.3,1013.3,1013.4,1013.4,1013.5,1013.6,1013.6,1013.7,1013.8,1013.8,1013.9,1014,1014,1014.1,1014.2,1014.3,1014.3,1014.4,1014.5,1014.6,1014.6,1014.7,1014.8,1014.9,1015,1015.1,1015.1,1015.2,1015.3,1015.3,1015.4,1015.5,1015.5,1015.6,1015.7,1015.7,1015.8,1015.9,1015.9,1015.9,1015.9,1016,1016,1016.1,1016.1,1016.1,1016.2,1016.2,1016.2,1016.1,1016.1,1016.1,1016.1,1016.1,1016.1,1016.1,1016.1,1016.1,1016,1016,1015.9,1015.9,1015.9,1015.8,1015.8,1015.7,1015.7,1015.7,1015.6,1015.6,1015.5,1015.5,1015.5,1015.4,1015.4,1015.4,1015.4,1015.4,1015.3,1015.3,1015.3,1015.3,1015.3,1015.2,1015.2,1015.1,1015.1,1015,1015,1014.9,1014.9,1014.8,1014.8,1014.7,1014.7,1014.7,1014.6,1014.6,1014.5,1014.5,1014.5,1014.4,1014.3,1014.3,1014.2,1014.1,1014,1013.9,1013.8,1013.7,1013.7,1013.6,1013.5,1013.4,1013.3
82.5,1012.8,1012.6,1012.5,1012.3,1012.2,1012.2,1012.1,1012.1,1012,1012,1012,1012,1012,1012,1012,1012,1011.9,1011.9,1011.9,1011.9,1012,1012,1012.1,1012.1,1012.2,1012.3,1012.3,1012.4,1012.5,1012.6,1012.8,1012.9,1013,1013.1,1013.1,1013.2,1013.3,1013.4,1013.5,1013.6,1013.7,1013.8,1013.9,1013.9,1014,1014.1,1014.3,1014.4,1014.5,1014.6,1014.8,1014.9,1015,1015.1,1015.2,1015.3,1015.5,1015.6,1015.7,1015.8,1015.9,1016,1016.1,1016.2,1016.3,1016.3,1016.4,1016.5,1016.6,1016.7,1016.7,1016.8,1016.8,1016.9,1016.9,1016.9,1017,1017,1017,1017,1017,1017,1017,1017,1016.9,1016.9,1016.8,1016.8,1016.8,1016.7,1016.6,1016.6,1016.5,1016.4,1016.3,1016.2,1016.1,1016,1015.9,1015.8,1015.8,1015.7,1015.6,1015.6,1015.5,1015.5,1015.5,1015.5,1015.5,1015.4,1015.4,1015.4,1015.4,1015.4,1015.4,1015.4,1015.5,1015.5,1015.5,1015.5,1015.5,1015.4,1015.3,1015.2,1015.1,1014.9,1014.8,1014.6,1014.5,1014.5,1014.5,1014.6,1014.6,1014.7,1014.7,1014.7,1014.6,1014.5,1014.3,1014.1,1013.8,1013.5,1013.3,1013,1012.8
80,1011.6,1011.3,1010.9,1010.8,1010.7,1010.9,1011,1011.1,1011.3,1011.3,1011.4,1011.4,1011.3,1011.3,1011.3,1011.2,1011.2,1011.2,1011.1,1011.1,1011.1,1011.2,1011.2,1011.2,1011.3,1011.4,1011.5,1011.6,1011.7,1011.9,1012,1012.2,1012.3,1012.5,1012.6,1012.7,1012.9,1013.1,1013.3,1013.4,1013.5,1013.6,1013.6,1013.7,1013.8,1013.9,1014.1,1014.2,1014.4,1014.6,1014.7,1014.9,1015.1,1015.2,1015.4,1015.6,1015.7,1015.9,1016.1,1016.2,1016.3,1016.5,1016.6,1016.7,1016.9,1017,1017.1,1017.2,1017.3,1017.3,1017.4,1017.5,1017.6,1017.6,1017.7,1017.7,1017.7,1017.7,1017.8,1017.8,1017.8,1017.7,1017.7,1017.7,1017.7,1017.7,1017.6,1017.5,1017.5,1017.4,1017.3,1017.2,1017.1,1017,1016.9,1016.7,1016.6,1016.4,1016.2,1016,1015.9,1015.7,1015.5,1015.4,1015.3,1015.3,1015.3,1015.4,1015.4,1015.2,1015.1,1015.1,1015,1015,1015,1014.8,1014.6,1014.4,1014.2,1013.7,1013.3,1013,1012.6,1012.6,1012.6,1012.8,1012.9,1013,1013.1,1013.1,1013,1013.1,1013.2,1013.5,1013.9,1014,1014.1,1014,1013.9,1013.5,1013.2,1012.8,1012.4,1012,1011.6
77.5,1010.1,1009.8,1009.4,1009.3,1009.3,1009.4,1009.7,1010.1,1010.3,1010.3,1010.3,1010.3,1010.3,1010.3,1010.3,1010.3,1010.3,1010.2,1010.2,1010.2,1010.2,1010.3,1010.3,1010.3,1010.4,1010.5,1010.6,1010.7,1010.9,1011.1,1011.3,1011.5,1011.7,1011.9,1012.1,1012.3,1012.5,1012.7,1012.9,1013.1,1013.2,1013.4,1013.5,1013.6,1013.7,1013.8,1014,1014.1,1014.3,1014.5,1014.6,1014.8,1015,1015.2,1015.4,1015.6,1015.8,1016,1016.2,1016.4,1016.6,1016.8,1017,1017.1,1017.3,1017.4,1017.5,1017.6,1017.7,1017.8,1017.9,1017.9,1018,1018,1018.1,1018.1,1018.2,1018.2,1018.2,1018.2,1018.3,1018.3,1018.3,1018.3,1018.2,1018.2,1018.2,1018.1,1018.1,1018,1017.9,1017.8,1017.7,1017.5,1017.4,1017.2,1017.1,1016.9,1016.7,1016.4,1016.1,1015.9,1015.6,1015.3,1015,1014.8,1014.6,1014.5,1014.4,1014.3,1014.1,1013.9,1013.6,1013.1,1012.7,1012.3,1012,1011.8,1011.4,1011.2,1011.2,1011.4,1011.9,1012.3,1012.7,1013.1,1013.6,1014.1,1014.5,1014.8,1015,1014.9,1014.6,1014.3,1014.2,1014.2,1014,1013.6,1013.2,1012.8,1012.2,1011.7,1011.1,1010.6,1010.1
75,1009.1,1008.8,1008.5,1008.3,1008.2,1008.2,1008.3,1008.4,1008.5,1008.6,1008.6,1008.7,1008.8,1008.9,1009,1009.1,1009.2,1009.3,1009.4,1009.5,1009.7,1009.9,1010.3,1010.7,1010.9,1010.9,1010.9,1010.9,1010.9,1011,1011.1,1011.2,1011.4,1011.6,1011.9,1012.1,1012.5,1012.8,1013.1,1013.3,1013.5,1013.7,1013.9,1014,1014.1,1014.1,1014.1,1014.1,1014.2,1014.3,1014.5,1014.7,1014.9,1015.1,1015.4,1015.6,1015.9,1016.1,1016.3,1016.5,1016.7,1016.9,1017.1,1017.2,1017.3,1017.4,1017.5,1017.6,1017.7,1017.8,1017.8,1017.9,1017.9,1018,1018,1018,1018.1,1018.1,1018.1,1018.2,1018.2,1018.2,1018.2,1018.2,1018.2,1018.2,1018.2,1018.2,1018.1,1018.1,1018,1017.9,1017.8,1017.7,1017.6,1017.5,1017.4,1017.2,1017,1016.8,1016.5,1016.1,1015.7,1015.4,1015,1014.6,1014.3,1014.1,1013.8,1013.6,1013.4,1013.2,1012.7,1012.3,1011.9,1011.5,1011.2,1011,1010.9,1010.8,1010.8,1010.8,1010.8,1011.1,1011.6,1012.4,1013.1,1013.8,1014.3,1014.8,1015,1014.8,1014.1,1013.6,1013.4,1013.5,1013.4,1013.1,1012.5,1011.8,1011.1,1010.5,1010,1009.5,1009.1
72.5,1008.1,1007.9,1007.7,1007.6,1007.5,1007.4,1007.3,1007.4,1007.4,1007.4,1007.6,1007.7,1007.9,1008.1,1008.3,1008.5,1008.7,1008.9,1009.1,1009.4,1009.7,1010.1,1010.4,1010.7,1010.7,1010.7,1010.8,1010.8,1010.9,1010.9,1011,1011.2,1011.4,1011.8,1012.1,1012.4,1012.7,1012.9,1013.1,1013.2,1013.3,1013.5,1013.7,1013.9,1014,1014.1,1014.3,1014.4,1014.6,1014.8,1014.9,1015.1,1015.2,1015.3,1015.5,1015.6,1015.8,1016.1,1016.2,1016.4,1016.5,1016.6,1016.7,1016.8,1016.9,1016.9,1017,1017,1017.1,1017.2,1017.2,1017.2,1017.3,1017.2,1017.2,1017.1,1017.1,1017.1,1017.1,1017.2,1017.2,1017.3,1017.3,1017.3,1017.3,1017.3,1017.3,1017.4,1017.4,1017.4,1017.3,1017.3,1017.2,1017.2,1017.2,1017.3,1017.3,1017.2,1017.1,1017,1016.7,1016.4,1015.9,1015.5,1015,1014.6,1014.3,1013.9,1013.5,1013.3,1013.1,1012.9,1012.7,1012.5,1012.3,1012.1,1011.9,1011.6,1011.4,1011.1,1010.8,1010.5,1010.1,1010,1010.5,1011.4,1012.2,1012.8,1013.1,1013.2,1013.2,1013.1,1013.3,1013.6,1013.5,1013.2,1012.6,1011.8,1011,1010.3,1009.6,1009.1,1008.7,1008.4,1008.1
70,1007.4,1007.3,1007.3,1007.2,1007.2,1007.2,1007.4,1007.6,1008,1008.5,1008.8,1009,1009.1,1009,1009.1,1009.1,1009.2,1009.3,1009.5,1009.7,1010,1010.3,1010.4,1010.6,1010.8,1010.9,1011,1011.1,1011.2,1011.3,1011.4,1011.6,1011.9,1012.1,1012.5,1012.8,1013.2,1013.5,1013.6,1013.7,1014,1014.2,1014.4,1014.6,1014.7,1014.8,1014.8,1014.9,1015.1,1015.3,1015.5,1015.7,1015.8,1016.1,1016.3,1016.4,1016.4,1016.4,1016.5,1016.5,1016.5,1016.4,1016.3,1016.2,1016.1,1016.1,1016.2,1016.3,1016.3,1016.4,1016.5,1016.5,1016.4,1016.1,1015.7,1015.4,1015.1,1014.9,1014.9,1015,1015.3,1015.5,1015.5,1015.4,1015.2,1015.2,1015.5,1015.8,1016.2,1016.3,1016.3,1016.3,1016.4,1016.5,1016.6,1016.8,1016.9,1017,1017,1016.9,1016.7,1016.4,1016.1,1015.6,1015.1,1014.7,1014.4,1014.1,1013.7,1013.3,1012.9,1012.5,1012.1,1011.8,1011.9,1012,1011.9,1011.7,1011.3,1010.9,1010.4,1009.8,1009.5,1009.5,1009.9,1010.4,1011.3,1011.9,1012,1011.7,1011.5,1011.8,1012.7,1013.2,1012.6,1011.9,1010.9,1010,1009.2,1008.6,1008.2,1007.9,1007.7,1007.5,1007.4
67.5,1007.4,1007.5,1007.5,1007.5,1007.7,1008,1008.7,1009.6,1009.8,1009.9,1010.2,1010.5,1010.7,1010.8,1010.8,1010.7,1010.5,1010.4,1010.5,1010.8,1011,1011.2,1011.4,1011.5,1011.7,1012.1,1012.3,1012.3,1012.2,1012.2,1012.2,1012.3,1012.4,1012.7,1013,1013.5,1014.2,1014.8,1015.1,1015.2,1015.2,1015.2,1015.2,1015.3,1015.3,1015.4,1015.4,1015.3,1015.3,1015.3,1015.5,1015.6,1015.9,1016.5,1016.9,1016.8,1016.6,1016.6,1016.7,1016.6,1016.6,1016.5,1016.3,1016.1,1015.9,1015.7,1015.6,1015.6,1015.7,1015.5,1015.2,1015.2,1015.3,1015.1,1014.6,1014,1013.3,1012.6,1012.2,1012.2,1012.5,1012.8,1013.2,1013.3,1013.4,1013.4,1013.5,1013.9,1014.6,1015.2,1015.5,1015.6,1015.6,1015.9,1016.2,1016.5,1016.7,1016.8,1016.9,1016.8,1016.7,1016.5,1016.3,1016,1015.6,1015.2,1014.8,1014.5,1014.1,1013.7,1013.2,1012.5,1011.8,1011.3,1010.9,1010.9,1011.2,1011.4,1011.5,1011,1010.3,1009.4,1008.8,1008.6,1008.6,1009.1,1010.5,1011.1,1010.4,1010.1,1010.1,1009.4,1009,1008.9,1008.7,1008.5,1008.1,1007.8,1007.6,1007.5,1007.5,1007.4,1007.4,1007.4,1007.4
